cuda is available
Epoch [169/55000], Loss: 83.5456
Epoch [170/55000], Loss: 83.0312
Epoch [171/55000], Loss: 82.5109
Epoch [172/55000], Loss: 81.9852
Epoch [173/55000], Loss: 81.4548
Epoch [174/55000], Loss: 80.9202
Epoch [175/55000], Loss: 80.3823
Epoch [176/55000], Loss: 79.8417
Epoch [177/55000], Loss: 79.2994
Epoch [178/55000], Loss: 78.7562
Epoch [179/55000], Loss: 78.2132
Epoch [180/55000], Loss: 77.6714
Epoch [181/55000], Loss: 77.1320
Epoch [182/55000], Loss: 76.5962
Epoch [183/55000], Loss: 76.0651
Epoch [184/55000], Loss: 75.5401
Epoch [185/55000], Loss: 75.0223
Epoch [186/55000], Loss: 74.5131
Epoch [187/55000], Loss: 74.0136
Epoch [188/55000], Loss: 73.5251
Epoch [189/55000], Loss: 73.0486
Epoch [190/55000], Loss: 72.5852
Epoch [191/55000], Loss: 72.1359
Epoch [192/55000], Loss: 71.7014
Epoch [193/55000], Loss: 71.2824
Epoch [194/55000], Loss: 70.8795
Epoch [195/55000], Loss: 70.4933
Epoch [196/55000], Loss: 70.1249
Epoch [197/55000], Loss: 69.7799
Epoch [198/55000], Loss: 69.4915
Epoch [199/55000], Loss: 69.4722
Epoch [200/55000], Loss: 71.0343
Epoch [201/55000], Loss: 79.7405
Epoch [202/55000], Loss: 98.5925
Epoch [203/55000], Loss: 93.6820
Epoch [204/55000], Loss: 68.5089
Epoch [205/55000], Loss: 84.5482
Epoch [206/55000], Loss: 83.0057
Epoch [207/55000], Loss: 68.3025
Epoch [208/55000], Loss: 83.1285
Epoch [209/55000], Loss: 71.2475
Epoch [210/55000], Loss: 73.2541
Epoch [211/55000], Loss: 76.4499
Epoch [212/55000], Loss: 67.5706
Epoch [213/55000], Loss: 75.8951
Epoch [214/55000], Loss: 67.8656
Epoch [215/55000], Loss: 72.0172
Epoch [216/55000], Loss: 70.0703
Epoch [217/55000], Loss: 68.2213
Epoch [218/55000], Loss: 71.1741
Epoch [219/55000], Loss: 66.5069
Epoch [220/55000], Loss: 70.3657
Epoch [221/55000], Loss: 66.6465
Epoch [222/55000], Loss: 68.4199
Epoch [223/55000], Loss: 67.5425
Epoch [224/55000], Loss: 66.5272
Epoch [225/55000], Loss: 67.9787
Epoch [226/55000], Loss: 65.5825
Epoch [227/55000], Loss: 67.4364
Epoch [228/55000], Loss: 65.6893
Epoch [229/55000], Loss: 66.2196
Epoch [230/55000], Loss: 66.1675
Epoch [231/55000], Loss: 65.1567
Epoch [232/55000], Loss: 66.2058
Epoch [233/55000], Loss: 64.8459
Epoch [234/55000], Loss: 65.5274
Epoch [235/55000], Loss: 65.1061
Epoch [236/55000], Loss: 64.6806
Epoch [237/55000], Loss: 65.2148
Epoch [238/55000], Loss: 64.3298
Epoch [239/55000], Loss: 64.7635
Epoch [240/55000], Loss: 64.4636
Epoch [241/55000], Loss: 64.1487
Epoch [242/55000], Loss: 64.4670
Epoch [243/55000], Loss: 63.9350
Epoch [244/55000], Loss: 64.0543
Epoch [245/55000], Loss: 63.9996
Epoch [246/55000], Loss: 63.6654
Epoch [247/55000], Loss: 63.8285
Epoch [248/55000], Loss: 63.6128
Epoch [249/55000], Loss: 63.4605
Epoch [250/55000], Loss: 63.5486
Epoch [251/55000], Loss: 63.3126
Epoch [252/55000], Loss: 63.2513
Epoch [253/55000], Loss: 63.2775
Epoch [254/55000], Loss: 63.0570
Epoch [255/55000], Loss: 63.0436
Epoch [256/55000], Loss: 63.0207
Epoch [257/55000], Loss: 62.8338
Epoch [258/55000], Loss: 62.8339
Epoch [259/55000], Loss: 62.7815
Epoch [260/55000], Loss: 62.6347
Epoch [261/55000], Loss: 62.6196
Epoch [262/55000], Loss: 62.5658
Epoch [263/55000], Loss: 62.4467
Epoch [264/55000], Loss: 62.4082
Epoch [265/55000], Loss: 62.3677
Epoch [266/55000], Loss: 62.2646
Epoch [267/55000], Loss: 62.2069
Epoch [268/55000], Loss: 62.1767
Epoch [269/55000], Loss: 62.0896
Epoch [270/55000], Loss: 62.0185
Epoch [271/55000], Loss: 61.9869
Epoch [272/55000], Loss: 61.9206
Epoch [273/55000], Loss: 61.8444
Epoch [274/55000], Loss: 61.7995
Epoch [275/55000], Loss: 61.7518
Epoch [276/55000], Loss: 61.6829
Epoch [277/55000], Loss: 61.6216
Epoch [278/55000], Loss: 61.5789
Epoch [279/55000], Loss: 61.5256
Epoch [280/55000], Loss: 61.4598
Epoch [281/55000], Loss: 61.4073
Epoch [282/55000], Loss: 61.3626
Epoch [283/55000], Loss: 61.3079
Epoch [284/55000], Loss: 61.2489
Epoch [285/55000], Loss: 61.1972
Epoch [286/55000], Loss: 61.1511
Epoch [287/55000], Loss: 61.1002
Epoch [288/55000], Loss: 61.0441
Epoch [289/55000], Loss: 60.9924
Epoch [290/55000], Loss: 60.9457
Epoch [291/55000], Loss: 60.8973
Epoch [292/55000], Loss: 60.8456
Epoch [293/55000], Loss: 60.7937
Epoch [294/55000], Loss: 60.7449
Epoch [295/55000], Loss: 60.6984
Epoch [296/55000], Loss: 60.6505
Epoch [297/55000], Loss: 60.6005
Epoch [298/55000], Loss: 60.5509
Epoch [299/55000], Loss: 60.5030
Epoch [300/55000], Loss: 60.4565
Epoch [301/55000], Loss: 60.4101
Epoch [302/55000], Loss: 60.3626
Epoch [303/55000], Loss: 60.3144
Epoch [304/55000], Loss: 60.2668
Epoch [305/55000], Loss: 60.2200
Epoch [306/55000], Loss: 60.1740
Epoch [307/55000], Loss: 60.1284
Epoch [308/55000], Loss: 60.0825
Epoch [309/55000], Loss: 60.0364
Epoch [310/55000], Loss: 59.9902
Epoch [311/55000], Loss: 59.9440
Epoch [312/55000], Loss: 59.8980
Epoch [313/55000], Loss: 59.8525
Epoch [314/55000], Loss: 59.8073
Epoch [315/55000], Loss: 59.7623
Epoch [316/55000], Loss: 59.7176
Epoch [317/55000], Loss: 59.6730
Epoch [318/55000], Loss: 59.6286
Epoch [319/55000], Loss: 59.5845
Epoch [320/55000], Loss: 59.5407
Epoch [321/55000], Loss: 59.4975
Epoch [322/55000], Loss: 59.4552
Epoch [323/55000], Loss: 59.4145
Epoch [324/55000], Loss: 59.3772
Epoch [325/55000], Loss: 59.3466
Epoch [326/55000], Loss: 59.3303
Epoch [327/55000], Loss: 59.3457
Epoch [328/55000], Loss: 59.4342
Epoch [329/55000], Loss: 59.6946
Epoch [330/55000], Loss: 60.3716
Epoch [331/55000], Loss: 62.0372
Epoch [332/55000], Loss: 65.9872
Epoch [333/55000], Loss: 74.0929
Epoch [334/55000], Loss: 86.4457
Epoch [335/55000], Loss: 91.1701
Epoch [336/55000], Loss: 76.0449
Epoch [337/55000], Loss: 59.2820
Epoch [338/55000], Loss: 67.4502
Epoch [339/55000], Loss: 76.4183
Epoch [340/55000], Loss: 64.0060
Epoch [341/55000], Loss: 60.6692
Epoch [342/55000], Loss: 70.4278
Epoch [343/55000], Loss: 63.8888
Epoch [344/55000], Loss: 59.8230
Epoch [345/55000], Loss: 66.6464
Epoch [346/55000], Loss: 61.9699
Epoch [347/55000], Loss: 59.7938
Epoch [348/55000], Loss: 64.4857
Epoch [349/55000], Loss: 60.0975
Epoch [350/55000], Loss: 60.2859
Epoch [351/55000], Loss: 62.7736
Epoch [352/55000], Loss: 59.1105
Epoch [353/55000], Loss: 60.5512
Epoch [354/55000], Loss: 61.2397
Epoch [355/55000], Loss: 58.6720
Epoch [356/55000], Loss: 60.5078
Epoch [357/55000], Loss: 59.9921
Epoch [358/55000], Loss: 58.6155
Epoch [359/55000], Loss: 60.2110
Epoch [360/55000], Loss: 59.1540
Epoch [361/55000], Loss: 58.6605
Epoch [362/55000], Loss: 59.7181
Epoch [363/55000], Loss: 58.6566
Epoch [364/55000], Loss: 58.6086
Epoch [365/55000], Loss: 59.2523
Epoch [366/55000], Loss: 58.3456
Epoch [367/55000], Loss: 58.5088
Epoch [368/55000], Loss: 58.8462
Epoch [369/55000], Loss: 58.1692
Epoch [370/55000], Loss: 58.3329
Epoch [371/55000], Loss: 58.5363
Epoch [372/55000], Loss: 58.0201
Epoch [373/55000], Loss: 58.1481
Epoch [374/55000], Loss: 58.2768
Epoch [375/55000], Loss: 57.9019
Epoch [376/55000], Loss: 57.9559
Epoch [377/55000], Loss: 58.0736
Epoch [378/55000], Loss: 57.7894
Epoch [379/55000], Loss: 57.7815
Epoch [380/55000], Loss: 57.8898
Epoch [381/55000], Loss: 57.6947
Epoch [382/55000], Loss: 57.6176
Epoch [383/55000], Loss: 57.7173
Epoch [384/55000], Loss: 57.6021
Epoch [385/55000], Loss: 57.4825
Epoch [386/55000], Loss: 57.5397
Epoch [387/55000], Loss: 57.5058
Epoch [388/55000], Loss: 57.3741
Epoch [389/55000], Loss: 57.3717
Epoch [390/55000], Loss: 57.3846
Epoch [391/55000], Loss: 57.2892
Epoch [392/55000], Loss: 57.2263
Epoch [393/55000], Loss: 57.2410
Epoch [394/55000], Loss: 57.1996
Epoch [395/55000], Loss: 57.1170
Epoch [396/55000], Loss: 57.0922
Epoch [397/55000], Loss: 57.0853
Epoch [398/55000], Loss: 57.0273
Epoch [399/55000], Loss: 56.9674
Epoch [400/55000], Loss: 56.9496
Epoch [401/55000], Loss: 56.9260
